time,speed,flow,density
2019-09-01 12:00:00,58,66,13.655172413793103
2019-09-01 12:05:00,58,77,15.931034482758621
2019-09-01 12:10:00,57,73,15.368421052631579
2019-09-01 12:15:00,56,80,17.142857142857142
2019-09-01 12:20:00,63,60,11.428571428571429
2019-09-01 12:25:00,59,84,17.084745762711865
2019-09-01 12:30:00,56,67,14.357142857142858
2019-09-01 12:35:00,58,78,16.137931034482758
2019-09-01 12:45:00,60,80,16.0
2019-09-01 12:50:00,56,59,12.642857142857142
2019-09-01 12:55:00,58,87,18.0
2019-09-01 13:00:00,57,74,15.578947368421053
2019-09-01 13:05:00,59,73,14.847457627118644
2019-09-01 13:10:00,56,87,18.642857142857142
2019-09-01 13:15:00,57,73,15.368421052631579
2019-09-01 13:20:00,57,75,15.789473684210526
2019-09-01 13:25:00,52,93,21.46153846153846
2019-09-01 13:30:00,58,76,15.724137931034482
2019-09-01 13:35:00,57,78,16.42105263157895
2019-09-01 13:40:00,57,69,14.526315789473685
2019-09-01 13:45:00,55,79,17.236363636363638
2019-09-01 13:50:00,54,78,17.333333333333332
2019-09-01 14:00:00,52,102,23.53846153846154
2019-09-01 14:05:00,50,103,24.72
2019-09-01 14:10:00,55,94,20.509090909090908
2019-09-01 14:15:00,54,100,22.22222222222222
2019-09-01 14:20:00,51,89,20.941176470588236
2019-09-01 14:25:00,51,106,24.941176470588236
2019-09-01 14:30:00,57,64,13.473684210526315
2019-09-01 14:35:00,54,83,18.444444444444443
2019-09-01 14:40:00,57,81,17.05263157894737
2019-09-01 14:45:00,53,90,20.37735849056604
2019-09-01 14:50:00,50,92,22.08
2019-09-01 14:55:00,52,95,21.923076923076923
2019-09-01 15:00:00,57,77,16.210526315789473
2019-09-01 15:05:00,52,87,20.076923076923077
2019-09-01 15:10:00,56,88,18.857142857142858
2019-09-01 15:15:00,55,91,19.854545454545455
2019-09-01 15:20:00,52,80,18.46153846153846
2019-09-01 15:25:00,57,83,17.473684210526315
2019-09-01 15:30:00,54,88,19.555555555555557
2019-09-01 15:35:00,51,90,21.176470588235293
2019-09-01 15:40:00,55,84,18.327272727272728
2019-09-01 15:45:00,53,86,19.471698113207548
2019-09-01 15:50:00,52,89,20.53846153846154
2019-09-01 15:55:00,56,85,18.214285714285715
2019-09-01 16:00:00,53,87,19.69811320754717
2019-09-01 16:05:00,56,86,18.428571428571427
2019-09-01 16:10:00,52,80,18.46153846153846
2019-09-01 16:15:00,54,78,17.333333333333332
2019-09-01 16:20:00,49,93,22.775510204081634
2019-09-01 16:25:00,51,91,21.41176470588235
2019-09-01 16:30:00,54,87,19.333333333333332
2019-09-01 16:35:00,55,88,19.2
2019-09-01 16:40:00,53,86,19.471698113207548
2019-09-01 16:45:00,57,75,15.789473684210526
2019-09-01 16:50:00,53,81,18.339622641509433
2019-09-01 16:55:00,54,83,18.444444444444443
2019-09-01 17:00:00,53,77,17.433962264150942
2019-09-01 17:05:00,57,73,15.368421052631579
2019-09-01 17:10:00,54,79,17.555555555555557
2019-09-01 17:15:00,55,84,18.327272727272728
2019-09-01 17:25:00,55,76,16.581818181818182
2019-09-01 17:30:00,57,76,16.0
2019-09-01 17:35:00,52,78,18.0
2019-09-01 17:40:00,54,74,16.444444444444443
2019-09-01 17:45:00,51,87,20.470588235294116
2019-09-01 17:50:00,56,74,15.857142857142858
2019-09-01 17:55:00,53,76,17.20754716981132
2019-09-01 18:00:00,53,78,17.660377358490567
